rating,genre avg rating,director avg rating,director in genres avg rating,star_0 avg rating,star_0 & director avg rating,star_0 in genres avg rating,star_1 avg rating,star_1 & director avg rating,star_1 in genres avg rating,star_2 avg rating,star_2 & director avg rating,star_2 in genres avg rating,stars_0-3 avg rating,stars_0-3 & director avg rating,stars_0-3 in genres avg rating,stars_3-6 avg rating,stars_3-6 & director avg rating,stars_3-6 in genres avg rating,stars_6-10 avg rating,stars_6-10 & director avg rating,stars_6-10 in genres avg rating
8.1,8.219999999999997,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,8.1,8.1,8.1,nan,nan,8.1
8.1,8.209090909090907,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,8.166666666666666,8.166666666666666,8.11176470588235
8.0,8.212820512820514,8.2,8.05,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,8.2625,8.2625,8.118749999999999,nan,nan,8.0
8.9,8.357575757575757,nan,8.9,8.3,8.3,8.600000000000001,nan,nan,8.9,8.3,8.3,8.600000000000001,8.3,8.3,8.66,nan,nan,8.9,8.2,8.2,8.76
8.3,8.232558139534886,nan,8.3,nan,nan,8.3,nan,nan,8.3,nan,nan,8.3,nan,nan,8.3,nan,nan,8.3,nan,nan,8.3
8.5,8.353846153846154,8.1,8.5,nan,nan,8.5,nan,nan,8.5,nan,nan,8.5,nan,nan,8.5,nan,nan,8.5,8.1,8.1,8.5
8.3,8.357575757575757,nan,8.3,nan,nan,8.3,nan,nan,8.3,nan,nan,8.3,nan,nan,8.3,nan,nan,nan,nan,nan,nan
8.3,8.26326530612245,nan,8.3,8.5,8.5,8.350000000000001,nan,nan,8.3,nan,nan,8.3,8.5,8.5,8.320000000000002,nan,nan,8.3,nan,nan,8.3
8.4,8.312727272727273,8.45,8.416666666666666,nan,nan,8.4,nan,nan,8.4,nan,nan,8.4,nan,nan,8.4,8.35,8.35,8.39090909090909,8.166666666666666,8.166666666666666,8.353333333333333
8.2,8.218421052631575,8.4,8.2,nan,nan,8.2,nan,nan,8.2,8.350000000000001,8.350000000000001,8.24,8.350000000000001,8.350000000000001,8.218181818181819,nan,nan,8.2,8.4,8.4,8.2
8.4,8.197222222222218,8.2,8.275,8.4,8.4,8.4,nan,nan,8.4,nan,nan,8.4,8.4,8.4,8.4,nan,nan,8.4,8.45,8.45,8.384615384615385
8.1,8.245833333333334,8.1,8.1,8.2,8.2,8.1,8.3,8.3,8.179999999999998,nan,nan,8.1,8.25,8.25,8.136363636363635,nan,nan,8.1,7.8,7.8,8.1
8.2,8.306000000000001,nan,8.2,nan,nan,8.2,nan,nan,8.2,nan,nan,8.2,nan,nan,8.2,nan,nan,8.2,nan,nan,8.2
8.4,8.173684210526314,8.228571428571428,8.307692307692308,8.1,8.1,8.325000000000001,8.3,8.3,8.4,nan,nan,8.4,8.166666666666666,8.166666666666666,8.370000000000001,8.149999999999999,8.149999999999999,8.341666666666667,7.8,7.8,8.4
7.3,7.725454545454545,7.375,7.350000000000003,nan,nan,7.3,nan,nan,7.3,7.3,7.3,7.299999999999999,7.3,7.3,7.3,7.3500000000000005,7.3500000000000005,7.327777777777779,7.75,7.75,7.428571428571429
8.3,8.263636363636364,8.433333333333332,8.3,8.4,8.4,8.3,nan,nan,8.3,nan,nan,8.3,8.4,8.4,8.3,nan,nan,8.3,8.05,8.05,8.3
8.6,8.283870967741935,8.25,8.360000000000001,nan,nan,8.6,8.0,8.0,8.6,nan,nan,8.6,8.0,8.0,8.6,8.466666666666667,8.466666666666667,8.559999999999999,8.399999999999999,8.399999999999999,8.561538461538461
8.0,8.21875,8.3,8.125,8.5,8.5,8.125,8.2,8.2,8.0,nan,nan,8.0,8.35,8.35,8.05,8.4,8.4,8.021052631578948,8.0,8.0,8.0
8.3,8.255555555555555,8.4,8.357142857142856,8.3,8.3,8.3,nan,nan,8.3,8.4,8.4,8.325000000000001,8.350000000000001,8.350000000000001,8.30909090909091,nan,nan,8.3,8.3,8.3,8.3
7.8,7.985714285714285,nan,7.8,nan,nan,7.8,nan,nan,7.8,nan,nan,7.8,nan,nan,7.799999999999999,nan,nan,7.799999999999999,nan,nan,7.8
7.8,8.20281690140845,nan,7.8,8.1,8.1,7.92,nan,nan,7.8,7.8,7.8,7.8,7.949999999999999,7.949999999999999,7.854545454545455,8.475000000000001,8.475000000000001,7.945454545454544,7.4,7.4,7.742857142857143
8.1,8.295238095238096,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1
7.6,8.155555555555557,nan,7.6,7.9,7.9,7.685714285714286,nan,nan,7.6,nan,nan,7.6,7.9,7.9,7.635294117647059,8.5,8.5,7.7444444444444445,8.4,8.4,7.6380952380952385
7.3,8.031707317073172,nan,7.3,nan,nan,7.3,nan,nan,7.3,nan,nan,7.3,nan,nan,7.299999999999999,8.25,8.25,7.472727272727272,nan,nan,7.3
7.7,8.20327868852459,8.200000000000001,7.975,8.4,8.4,7.7,8.1,8.1,7.7,nan,nan,7.7,8.25,8.25,7.7,nan,nan,7.7,nan,nan,7.7
8.4,8.194594594594594,8.3,8.362499999999999,nan,nan,8.4,8.3,8.3,8.362499999999999,nan,nan,8.4,8.3,8.3,8.383333333333333,8.2,8.2,8.342857142857142,8.333333333333334,8.333333333333334,8.4
8.1,8.228124999999999,nan,8.1,nan,nan,8.1,nan,nan,8.1,8.399999999999999,8.399999999999999,8.319999999999999,8.399999999999999,8.399999999999999,8.222222222222221,nan,nan,8.1,7.949999999999999,7.949999999999999,8.1
8.4,8.290909090909091,nan,8.4,8.1,8.1,8.4,nan,nan,8.4,nan,nan,8.4,8.1,8.1,8.4,nan,nan,8.4,nan,nan,8.4
8.1,8.169491525423728,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,8.6,8.6,8.155555555555557
7.5,7.984782608695654,7.3,7.3999999999999995,7.3,7.3,7.3999999999999995,nan,nan,7.5,nan,nan,7.5,7.3,7.3,7.45,7.933333333333334,7.933333333333334,7.5200000000000005,7.6,7.6,7.4875
8.3,8.177215189873417,7.8,8.2,7.8,7.8,8.2,nan,nan,8.3,nan,nan,8.3,7.8,7.8,8.261538461538462,8.05,8.05,8.26875,7.8,7.8,8.270588235294118
7.8,7.990909090909093,8.28888888888889,8.139999999999999,nan,nan,7.8,nan,nan,7.8,7.2,7.2,7.8,7.2,7.2,7.8,nan,nan,7.8,8.2,8.2,7.8
7.2,7.7447058823529416,7.2,7.200000000000001,nan,nan,7.200000000000002,nan,nan,7.2,7.2,7.2,7.200000000000001,7.2,7.2,7.200000000000001,7.2,7.2,7.199999999999998,nan,nan,7.2
8.5,8.181481481481484,8.075,8.375,7.7,7.7,8.5,8.1,8.1,8.5,8.1,8.1,8.5,7.966666666666666,7.966666666666666,8.5,8.05,8.05,8.414285714285715,nan,nan,8.5
7.8,7.976000000000002,nan,7.8,7.4,7.4,7.533333333333333,nan,nan,7.8,nan,nan,7.8,7.4,7.4,7.666666666666667,nan,nan,7.799999999999999,7.7,7.7,7.7
7.8,7.793333333333333,nan,7.8,nan,nan,7.8,nan,nan,7.799999999999999,nan,nan,7.8,nan,nan,7.8,nan,nan,7.8,8.4,8.4,7.8
8.1,7.961538461538462,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1,nan,nan,8.1
7.9,8.017894736842104,8.149999999999999,8.024999999999999,7.949999999999999,7.949999999999999,7.8999999999999995,nan,nan,7.9,nan,nan,7.9,7.949999999999999,7.949999999999999,7.9,8.25,8.25,7.900000000000001,7.9,7.9,7.899999999999999
8.0,8.19259259259259,8.350000000000001,8.2,8.4,8.4,8.16,nan,nan,8.0,nan,nan,8.0,8.4,8.4,8.072727272727272,8.333333333333334,8.333333333333334,8.12142857142857,nan,nan,8.0
8.0,8.020192307692307,7.699999999999999,7.8500000000000005,7.8,7.8,7.942857142857143,nan,nan,8.0,nan,nan,8.0,7.8,7.8,7.976470588235294,7.4,7.4,7.929411764705883,nan,nan,8.0
7.0,7.920754716981134,7.4,7.2666666666666675,7.533333333333334,7.533333333333334,7.3999999999999995,nan,nan,7.0,nan,nan,7.0,7.533333333333334,7.533333333333334,7.2666666666666675,8.2,8.2,7.12,7.625,7.625,7.364705882352942
8.9,8.214285714285714,8.2,8.433333333333335,7.8,7.8,8.35,8.2,8.2,8.433333333333335,8.2,8.2,8.55,8.12,8.12,8.466666666666667,8.3,8.3,8.75,nan,nan,8.9
8.2,8.265999999999998,8.3,8.266666666666667,8.3,8.3,8.275,nan,nan,8.2,nan,nan,8.2,8.3,8.3,8.25,8.3,8.3,8.25,nan,nan,nan
8.2,8.229577464788735,nan,8.2,8.1,8.1,8.166666666666666,8.0,8.0,8.133333333333333,nan,nan,8.2,8.05,8.05,8.1625,nan,nan,8.2,nan,nan,8.2
7.9,8.221333333333337,nan,7.900000000000001,nan,nan,7.900000000000001,nan,nan,7.900000000000001,nan,nan,7.900000000000001,nan,nan,7.900000000000001,nan,nan,7.900000000000001,8.3,8.3,7.930769230769231
8.0,8.154838709677415,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,8.0,8.0,8.007692307692308,nan,nan,8.0
7.6,7.651428571428573,7.2,7.345454545454547,nan,nan,7.6,7.2,7.2,7.333333333333335,nan,nan,7.6,7.2,7.2,7.44,7.74,7.74,7.499999999999998,7.561904761904763,7.561904761904763,7.503896103896108
6.9,7.8614035087719305,nan,6.900000000000001,7.4,7.4,7.300000000000001,nan,nan,6.900000000000001,nan,nan,6.900000000000001,7.4,7.4,7.185714285714288,nan,nan,6.900000000000001,7.557142857142857,7.557142857142857,7.317021276595745
8.3,8.239999999999998,8.16,8.3,nan,nan,8.3,nan,nan,8.3,6.9,6.9,8.3,6.9,6.9,8.3,nan,nan,8.3,nan,nan,8.3
8.0,8.066666666666666,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0
8.0,7.986666666666667,nan,8.0,8.149999999999999,8.149999999999999,8.025,nan,nan,8.0,8.1,8.1,8.0,8.133333333333333,8.133333333333333,8.01,nan,nan,8.0,nan,nan,8.0
8.0,8.239473684210527,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,nan,nan,8.0,8.133333333333333,8.133333333333333,8.033333333333333
8.2,8.176470588235295,nan,8.2,8.149999999999999,8.149999999999999,8.2,8.149999999999999,8.149999999999999,8.2,nan,nan,8.2,8.149999999999999,8.149999999999999,8.2,8.3,8.3,8.19090909090909,nan,nan,8.2
7.4,8.228571428571428,nan,7.4,nan,nan,7.4,8.0,8.0,7.8,nan,nan,7.4,8.0,8.0,7.639999999999999,8.2,8.2,7.6,8.2,8.2,7.56
8.0,8.228571428571428,nan,8.0,8.0,8.0,8.0,nan,nan,8.0,nan,nan,8.0,8.0,8.0,8.0,7.949999999999999,7.949999999999999,7.95,8.4,8.4,8.08
6.8,7.820634920634922,nan,6.8,nan,nan,6.8,nan,nan,6.8,nan,nan,6.8,nan,nan,6.8,7.542857142857143,7.542857142857143,7.1125,7.4,7.4,7.205405405405406
8.1,7.8346938775510235,nan,8.1,8.4,8.4,8.15,nan,nan,8.1,nan,nan,8.1,8.4,8.4,8.12,nan,nan,8.1,8.2,8.2,8.11
7.7,8.174725274725269,nan,7.7,nan,nan,7.7,nan,nan,7.7,nan,nan,7.7,nan,nan,7.700000000000001,8.4,8.4,7.7700000000000005,nan,nan,7.7
8.0,8.206493506493505,8.0,8.0,8.3,8.3,8.120000000000001,8.2,8.2,8.08,nan,nan,8.0,8.25,8.25,8.076923076923077,8.0,8.0,8.0,nan,nan,8.0
