rating,genre avg rating,director avg rating,director in genres avg rating,star_0 avg rating,star_0 & director avg rating,star_0 in genres avg rating,star_1 avg rating,star_1 & director avg rating,star_1 in genres avg rating,star_2 avg rating,star_2 & director avg rating,star_2 in genres avg rating,stars_0-3 avg rating,stars_0-3 & director avg rating,stars_0-3 in genres avg rating,stars_3-6 avg rating,stars_3-6 & director avg rating,stars_3-6 in genres avg rating,stars_6-10 avg rating,stars_6-10 & director avg rating,stars_6-10 in genres avg rating
7.8,8.046153846153844,nan,nan,8.433333333333335,8.433333333333335,8.1,nan,nan,nan,nan,nan,nan,8.433333333333335,8.433333333333335,8.1,nan,nan,nan,7.9,7.9,nan
8.1,7.970588235294118,nan,nan,8.0,8.0,nan,7.7,7.7,7.7,nan,nan,nan,7.85,7.85,7.7,8.2,8.2,nan,7.7,7.7,7.7
7.8,8.046153846153844,nan,nan,7.9,7.9,7.9,nan,nan,nan,nan,nan,nan,7.9,7.9,7.9,nan,nan,nan,8.0,8.0,nan
7.8,7.715999999999999,nan,nan,7.9,7.9,nan,nan,nan,nan,nan,nan,nan,7.9,7.9,nan,nan,nan,nan,nan,nan,nan
7.8,8.054255319148936,nan,nan,8.0,8.0,8.0,nan,nan,nan,nan,nan,nan,8.0,8.0,8.0,nan,nan,nan,8.0,8.0,8.0
9.2,8.197101449275364,nan,nan,8.2,8.2,8.2,nan,nan,nan,nan,nan,nan,8.2,8.2,8.2,8.175,8.175,8.066666666666668,nan,nan,nan
7.5,8.135443037974683,nan,nan,8.0,8.0,8.0,nan,nan,nan,nan,nan,nan,8.0,8.0,8.0,nan,nan,nan,8.1,8.1,nan
7.7,8.127272727272727,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.8,7.896078431372551,7.25,7.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.2,8.2,nan,7.25,7.25,7.220000000000001
7.4,8.205633802816905,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.1,8.205633802816905,8.0,8.0,8.05,8.05,8.3,8.0,8.0,8.0,8.2,8.2,8.2,8.059999999999999,8.059999999999999,8.125,8.2,8.2,8.2,8.15,8.15,8.200000000000001
7.8,8.205633802816905,8.9,8.9,9.2,9.2,9.2,nan,nan,nan,nan,nan,nan,9.2,9.2,9.2,nan,nan,nan,nan,nan,nan
7.6,7.870769230769231,7.2749999999999995,7.2749999999999995,nan,nan,nan,8.0,8.0,8.0,nan,nan,nan,8.0,8.0,8.0,7.266666666666666,7.266666666666666,7.266666666666666,7.099999999999999,7.099999999999999,7.099999999999999
8.0,8.066666666666666,7.8,nan,nan,nan,nan,8.3,8.3,nan,8.600000000000001,8.600000000000001,nan,8.450000000000001,8.450000000000001,nan,8.0,8.0,nan,nan,nan,nan
8.4,8.157317073170734,8.2,8.2,8.166666666666666,8.166666666666666,8.166666666666666,8.2,8.2,8.2,8.2,8.2,8.2,8.180000000000001,8.180000000000001,8.180000000000001,8.3,8.3,8.3,nan,nan,nan
7.8,8.073529411764708,nan,nan,nan,nan,nan,7.85,7.85,nan,8.5,8.5,8.5,8.066666666666666,8.066666666666666,8.5,nan,nan,nan,8.1,8.1,nan
8.3,8.095698924731183,8.0,8.0,7.4,7.4,7.4,7.9,7.9,7.9,8.3,8.3,8.3,7.866666666666667,7.866666666666667,7.866666666666667,nan,nan,nan,nan,nan,nan
9.1,8.175324675324676,9.2,9.2,8.5,8.5,8.5,8.433333333333332,8.433333333333332,8.433333333333332,9.2,9.2,9.2,8.583333333333334,8.583333333333334,8.583333333333334,8.6,8.6,8.6,8.75,8.75,8.75
7.9,8.095698924731183,9.2,9.2,7.85,7.85,7.85,9.2,9.2,9.2,nan,nan,nan,8.299999999999999,8.299999999999999,8.299999999999999,7.5,7.5,7.5,7.5,7.5,7.5
7.5,7.8777777777777755,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.8,7.866666666666668,7.1000000000000005,7.1000000000000005,6.8,6.8,6.8,7.7,7.7,nan,nan,nan,nan,7.25,7.25,6.8,7.5,7.5,6.8,7.1800000000000015,7.1800000000000015,7.1800000000000015
8.1,8.004166666666666,nan,nan,7.85,7.85,nan,nan,nan,nan,nan,nan,nan,7.85,7.85,nan,8.2,8.2,nan,7.880000000000001,7.880000000000001,7.7
8.1,8.014736842105261,8.214285714285715,8.219999999999999,nan,nan,nan,nan,nan,nan,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,nan,nan,nan
8.1,8.185000000000002,8.35,8.35,nan,nan,nan,nan,nan,nan,8.733333333333334,8.733333333333334,8.733333333333334,8.733333333333334,8.733333333333334,8.733333333333334,nan,nan,nan,nan,nan,nan
8.1,8.086315789473684,nan,nan,7.8,7.8,7.8,8.2,8.2,8.2,7.75,7.75,7.75,7.875,7.875,7.875,7.933333333333334,7.933333333333334,7.933333333333334,nan,nan,nan
8.3,7.838709677419357,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.7,8.20142857142857,nan,nan,nan,nan,nan,8.05,8.05,8.05,nan,nan,nan,8.05,8.05,8.05,7.1,7.1,nan,8.1,8.1,8.1
7.4,7.881578947368422,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.0,8.092929292929291,nan,nan,8.033333333333333,8.033333333333333,8.033333333333333,8.3,8.3,8.4,8.9,8.9,8.9,8.266666666666667,8.266666666666667,8.28,8.440000000000001,8.440000000000001,8.4,7.8,7.8,7.8
7.4,7.9875,nan,nan,nan,nan,nan,8.1,8.1,nan,nan,nan,nan,8.1,8.1,nan,nan,nan,nan,8.7,8.7,nan
8.2,8.204054054054053,8.266666666666667,8.266666666666667,8.100000000000001,8.100000000000001,8.100000000000001,8.299999999999999,8.299999999999999,8.4,nan,nan,nan,8.22,8.22,8.25,8.35,8.35,8.35,nan,nan,nan
8.1,8.204054054054053,nan,nan,nan,nan,nan,nan,nan,nan,9.149999999999999,9.149999999999999,9.149999999999999,9.149999999999999,9.149999999999999,9.149999999999999,9.149999999999999,9.149999999999999,9.149999999999999,8.649999999999999,8.649999999999999,8.649999999999999
8.4,8.188095238095238,7.4,7.4,nan,nan,nan,nan,nan,nan,7.4,7.4,7.4,7.4,7.4,7.4,8.1,8.1,nan,8.25,8.25,8.25
7.6,8.169565217391305,nan,nan,8.25,8.25,nan,nan,nan,nan,nan,nan,nan,8.25,8.25,nan,nan,nan,nan,7.457142857142856,7.457142857142856,nan
8.1,8.116831683168314,nan,nan,nan,nan,nan,9.149999999999999,9.149999999999999,9.149999999999999,7.8,7.8,7.8,8.7,8.7,8.7,8.1,8.1,8.1,nan,nan,nan
