486576,786911,2287404,602256,359520,1332900,3457087,238496,640367,992928,2659253
1486193,675993,2472517,424146,2690198,1811210,1844303,698873,1057978,1487164,748994
343660,1792363,2346710,1820315,87710,3351012,97525,2751454,421743,375456,3239064
1306980,757827,1732122,2840368,2767614,2776351,908292,22302,674141,814277,3496230
120577,1595060,2735085,2436742,1438729,3455289,1357049,3350226,2287949,1298924,972334
354356,2416733,672873,2605654,1207826,3120207,347593,1757644,2006052,247501,2845342
1975249,2093275,644470,3160412,2354454,1472591,586770,499743,1180448,2099076,3424374
1179069,3045058,1697348,499898,2492174,410732,3174635,2204358,2619464,1710478,2011322
1725795,1976670,2711532,1468994,2275481,1662259,22829,936728,1013001,2335534,3354186
2659414,1769534,2822505,1506637,974562,1551201,1059155,3127673,2818233
1975159,1116100,3314612,2373921,2474892,3376771,3469082,628798,3286528,677867,1041321
118541,1585255,397886,3360392,818343,2438719,1924933,1213778,1261099,136798,3016281
298203,586865,2348695,1594322,3061722,993198,1371161,2204840,285869,2967611,917125
283832,2524157,2546762,2775322,2429165,2313967,2904283,3248777,3207326,1131050
90570,2338452,903034,2546657,2531216,500520,2525774,3239247,721202,3050270,1334964
411061,1533961,3485355,3321675,2405642,658102,3413617,1329297,1321433,2432081,1421927
134273,291749,1597233,696412,1959870,852814,141474,2836435,2448332,3053661,3168496
56801,1296364,2441650,2284495,3029116,2607813,3338694,2902986,2392181,2651271,28879
411705,1494350,3345044,456354,579280,624590,192941,1975998,2132285,272472,371191
417397,1909991,339540,1105665,1084052,605081,1365087,632628,1475825,1621892,212222
875113,552268,1652713,1368014,2673851,3398546,1273995,178826,137082,1580849,3110638
268978,433650,834690,2491368,1612720,178750,744617,1219100,1669842,771102,885442
1554091,183205,1921898,416467,1004567,2912199,351662,1922163,3201451,2029599,780516
72730,984340,2364898,1715470,1327415,1399794,3483760,1325698,144562,621193,1762290
75784,2136115,2288619,2092257,1631658,2132299,3138621,206930,1306305,401335,1499182
106489,481965,1541582,235590,308281,2749915,3072026,324892,1804397,1601503,1585255
120623,651832,1924819,2938541,3123786,2557140,1061660,929359,1667866,1153963,835291
1817081,1206608,1496682,3488680,739404,3027829,3137857,521265,3151060,1725654,2107036
88915,200053,2392994,2399010,2414715,274173,539185,589562,633782,2634038,2640403
1067106,318069,2089532,1772219,1768056,3008649,1503643,3119254,222401,2721982,896592
85334,2557314,1323448,186592,1827226,1861304,1589563,3045918,1715598,2155495,52839
356470,2574433,2494264,1433522,285835,2850829,2683418,3292749,3512519,2326454,2676443
120633,2056126,560935,1851867,1241512,948302,1485013,1195719,3180840,956333,2969351
66921,1321756,1245203,139515,378644,382880,2498375,550498,615815,664821,762249
112691,1783344,3198676
1571222,2858613,1415449,616820,326575,2649692,863873,1828112,3201103,2446747,2316892
28772,1291258,1291225,1291264,991315,3100745,2575994,335495,553307,3058153,1761332
365125,3412722,1079109,2380741,944443,3294895,3346502,2737129,2757504,1480380,3081113
50371,780634,3075469,664676,1301486,3200895,2153954,1325607,237768,1459018,1067638
2006040,1571682,543113,1850666,1890779,619497,227636,2750499,672097,934633,2068931
1640711,2405817,1788125,1280007,190469,543954,3450829,1972364,2538906,3081438,3481890
104257,434438,1471044,3044665,102929,1977797,1616708,1279823,2149395,791368,1632869
2375574,130120,624611,740263,1620734,1858456,1899617,2540029
95159,380627,2513345,1074365,1539599,2284838,718727,2735473,1540811,2480835,585680
60438,1418660,1879253,1035206,427302,730132,2304470,904108,775331,1065267,137242
2326554,3424337,1267583,1260722,2976297,1659782,3288469,574288,1775244,827838,2299873
1606378,2202473,420748,1080908,3483729,3320668,270824,846360,1482210,1084681,1222942
2180994,2293467,1137439,1134513,2421968,2491647,1498778,1956064,1733651,118285,2954362
1231586,1970094,2373921,2359113,2394010,1103559,1120874,3261560,3313905,1940765,389306
379306,2774254,2805861,3445746,299980,2080496,820316,1937521,2194142,2986413,2723788
401445,878665,638113,433650,1925329,3124051,424146,1706847,1044654,3205565,1308966
113198,614592,1278788,439466,2980011,1564496,1857679,3443719,2173066,1188375,3335867
104361,1783344
473488,3473536,540969,1120766,2554818,2659745,2742335,1810343,1997642,2005287,2038040
295289,1158989,3344954,2380741,250430,844998,1429224,3267782,1081635,2713322,1169338
58182,147153,1169283,1314583,837054,1940828,235238,1749013,1005801,1930113,3179908
2243537,2163939,2633500,2323306,1081635,1862036,1981892,3411424,454201,335431,430719
2828996,2163939,3171256,2323306,935177,3178030,3209147,430719,1942263,1529995,1235054
399146,1415449,2360379,834690,926109,897453,1240895,1326843,265199,1817619,2834389
359423,341103,534710,3435868,2718805,93966,3016397,1152955,1903168,37645,674141
50598,346667,2324468,505848,989575,2279597,962111,2783252,346687,1331111,258429
183790,1156558,1848316,3326999,178750,2639680,13213,2068168,2357862,822667,1643831
1226240,2836435,2143908,891496,948328,3164703,2792631,2462896,1857679,3181142,1553162
104694,823513,2527870,3149530,2956232,3098473,2454922,3199732,3273974,2513643,3188420
41587,2504302,2524012,3327088,539114,539251,2899450,1229344,2671638,2349988,333410
119535,2774796,1191190,854980,2554568,1334964,1325885,1019333,2209463,2539457,2067139
1440161,2771129,701234,2350034,3176761,1253533,2552161,2679914,2201340,2166906,521265
2639254,37530,1704014,2720502,3340124,874908,3417466,3042792,1821037,2165433,3483623
113670,2990318,2410214,440516,3276947,1254324,2467915,1890485,2544782,2644662,2400454
1422136,1466181,1927550,2665660,2958221,1982402,2399004,1763898,1942812,836248,1316344
458413,252974,2487545,3164703,1563124,3471070,390728,2572730,2400872,1459101,2422535
